rank,model_group,model_label,source_file,twist_label_deg,is_diffraction_ready,mean_abs_primary_peak_offset_A,max_abs_primary_peak_offset_A,base_stack_offset_A,feature_3p77_offset_A,feature_4p4_offset_A,feature_5p6_offset_A,feature_7p3_offset_A,passes_primary_peak_position_filter,passes_multi_window_consistency_filter,hbond_proxy_best_N_O_A,hbond_proxy_best_H_O_A,clash_count_lt_2p2,structural_warning_flag,control_role,falsification_status,qualitative_note,combined_screen_score,rank_formula
1,Ideal baseline,ideal_16mer_antiparallel_30deg,inputs/nick_ideal_models/Hexaplex_AntiParallel_30deg_Ideal.pdb,30,yes,0.0235452211895,0.0582217172089,0.0348347304828,-0.000283605539219,-0.0582217172089,0.00627265747814,0.0181133952385,yes,yes,,,,no,current_positive_baseline,survives_current_filters,Current positive corrected-Emory baseline; same peak positions as Asem 30 in the primary windows.,0.0431006504917,mean_abs_offset + 0.25*max_abs_offset + structural_warning(0.03) + Hbond_penalty(0.02) + role/context penalty
2,Asem twist series,twist_29_candidate_01_29_pdb_txt,inputs/asem_twist_series_29_30_31/raw/29/29.pdb.txt,29,yes,0.0235452211895,0.0582217172089,0.0348347304828,-0.000283605539219,-0.0582217172089,0.00627265747814,0.0181133952385,yes,yes,2.25244,1.60101,174,yes,new_asem_candidate,survives_current_filters,"New full Asem candidate; diffraction screen is strong for 29/30, but short-contact proxy flags remain. Relative near-best Asem filter passed: mean offset <= 0.0285452 A.",0.0681006504917,mean_abs_offset + 0.25*max_abs_offset + structural_warning(0.03) + Hbond_penalty(0.02) + role/context penalty
3,Asem twist series,twist_30_candidate_01_30_pdb_txt,inputs/asem_twist_series_29_30_31/raw/30/30.pdb.txt,30,yes,0.0235452211895,0.0582217172089,0.0348347304828,-0.000283605539219,-0.0582217172089,0.00627265747814,0.0181133952385,yes,yes,2.25343,1.60183,174,yes,new_asem_candidate,survives_current_filters,"New full Asem candidate; diffraction screen is strong for 29/30, but short-contact proxy flags remain. Relative near-best Asem filter passed: mean offset <= 0.0285452 A.",0.0681006504917,mean_abs_offset + 0.25*max_abs_offset + structural_warning(0.03) + Hbond_penalty(0.02) + role/context penalty
4,Asem twist series,twist_31_candidate_01_31_pdb_txt,inputs/asem_twist_series_29_30_31/raw/31/31.pdb.txt,31,yes,0.0407607423262,0.0863612112229,0.0348347304828,-0.0863612112229,-0.0582217172089,0.00627265747814,0.0181133952385,no,yes,2.25289,1.60108,186,yes,new_asem_candidate,disfavored_by_peak_offsets,"New full Asem candidate; diffraction screen is strong for 29/30, but short-contact proxy flags remain. Relative near-best Asem filter failed: best mean 0.0235452 A, cutoff 0.0285452 A.",0.0923510451319,mean_abs_offset + 0.25*max_abs_offset + structural_warning(0.03) + Hbond_penalty(0.02) + role/context penalty
5,Rise sensitivity,rise_3.38_control,outputs/metrics/rise_sensitivity_ranking_corrected_emory_profile.csv,,yes,0.0647769380998,0.126353636346,0.0348347304828,-0.0863612112229,-0.0582217172089,0.126353636346,0.0181133952385,no,no,,,,no,rise_variant_control,disfavored_by_peak_offsets,Existing rise-sensitivity control reused; no diffraction rerun.,0.116365347186,mean_abs_offset + 0.25*max_abs_offset + structural_warning(0.03) + Hbond_penalty(0.02) + role/context penalty
6,Rise sensitivity,rise_3.39_control,outputs/metrics/rise_sensitivity_ranking_corrected_emory_profile.csv,,yes,0.0647769380998,0.126353636346,0.0348347304828,-0.0863612112229,-0.0582217172089,0.126353636346,0.0181133952385,no,no,,,,no,rise_variant_control,disfavored_by_peak_offsets,Existing rise-sensitivity control reused; no diffraction rerun.,0.116365347186,mean_abs_offset + 0.25*max_abs_offset + structural_warning(0.03) + Hbond_penalty(0.02) + role/context penalty
7,Parallel control,parallel_sheet_control,inputs/nick_ideal_models/parallel_control/TwoBetaSheetBackbones180_180.pdb,,yes,0.0501305087,0.107064464,0.107064464,-0.0178329727,0.06191994427,0.04572176729,0.01811339524,no,yes,,,,no,parallel_control,disfavored_by_peak_offsets,Negative/falsification control; generally worse than antiparallel in prior comparison.,0.1168966247,mean_abs_offset + 0.25*max_abs_offset + structural_warning(0.03) + Hbond_penalty(0.02) + role/context penalty
8,Atom contribution,atom_contribution_with_coo,outputs/metrics/nick_atom_contribution_feature_summary_corrected_emory_profile.csv,,yes,0.0452401261598,0.0871388102752,0.0348347304828,-0.000283605539219,-0.0582217172089,0.0457217672928,0.0871388102752,yes,yes,,,,no,atom_contribution_control,survives_but_not_unique,"Atom-contribution context: With COO/full model; useful for peak-assignment interpretation, not a new full candidate.",0.117024828729,mean_abs_offset + 0.25*max_abs_offset + structural_warning(0.03) + Hbond_penalty(0.02) + role/context penalty
9,Rise sensitivity,rise_3.40_control,outputs/metrics/rise_sensitivity_ranking_corrected_emory_profile.csv,,yes,0.0633904338691,0.137366801739,0.0348347304828,-0.000283605539219,0.137366801739,0.126353636346,0.0181133952385,no,no,,,,no,rise_variant_control,disfavored_by_peak_offsets,Existing rise-sensitivity control reused; no diffraction rerun.,0.117732134304,mean_abs_offset + 0.25*max_abs_offset + structural_warning(0.03) + Hbond_penalty(0.02) + role/context penalty
10,Rise sensitivity,rise_3.36_control,outputs/metrics/rise_sensitivity_ranking_corrected_emory_profile.csv,,yes,0.0740174359674,0.126353636346,0.0348347304828,-0.0863612112229,-0.104424206547,0.126353636346,0.0181133952385,no,no,,,,no,rise_variant_control,disfavored_by_peak_offsets,Existing rise-sensitivity control reused; no diffraction rerun.,0.125605845054,mean_abs_offset + 0.25*max_abs_offset + structural_warning(0.03) + Hbond_penalty(0.02) + role/context penalty
