model_id,angle_deg,twist_deg,rise_A,candidate_id,source_pdb,xyz_file,xyz_atom_count,diffraction_status,diffraction_file,diffraction_png,diffraction_json,radial_csv,radial_csv_exists,model_status,smoke_grid_size,smoke_grid_limit_mm,smoke_theta_count,smoke_phi_count,smoke_psi_count,smoke_theta_max,smoke_orientation_count,notes
angle27_cand0,27,27,3.4,cand0,inputs/asem_sidechains_20260625/raw/27/cand0/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand0.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand0.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand0.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand0.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand0_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand1,27,27,3.4,cand1,inputs/asem_sidechains_20260625/raw/27/cand1/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand1.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand1.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand1.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand1.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand1_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand10,27,27,3.4,cand10,inputs/asem_sidechains_20260625/raw/27/cand10/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand10.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand10.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand10.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand10.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand10_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand11,27,27,3.4,cand11,inputs/asem_sidechains_20260625/raw/27/cand11/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand11.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand11.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand11.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand11.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand11_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand12,27,27,3.4,cand12,inputs/asem_sidechains_20260625/raw/27/cand12/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand12.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand12.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand12.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand12.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand12_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand13,27,27,3.4,cand13,inputs/asem_sidechains_20260625/raw/27/cand13/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand13.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand13.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand13.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand13.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand13_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand14,27,27,3.4,cand14,inputs/asem_sidechains_20260625/raw/27/cand14/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand14.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand14.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand14.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand14.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand14_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand15,27,27,3.4,cand15,inputs/asem_sidechains_20260625/raw/27/cand15/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand15.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand15.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand15.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand15.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand15_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand16,27,27,3.4,cand16,inputs/asem_sidechains_20260625/raw/27/cand16/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand16.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand16.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand16.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand16.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand16_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand17,27,27,3.4,cand17,inputs/asem_sidechains_20260625/raw/27/cand17/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand17.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand17.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand17.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand17.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand17_radial.csv,True,complete,33,100,2,4,1,180,8,
