bin_index,r_min_mm,r_max_mm,r_center_mm,radius_mm,two_theta_deg,q_center_inv_angstrom,q_Ainv,d_center_angstrom,d_A,mean_intensity,intensity_mean,intensity_sum,intensity_total,pixel_count,sample_count
0,0.0,0.5892556509887896,0.2946278254943948,0.2946278254943948,0.0498845350547465,0.007059557665824148,0.007059557665824148,890.0253535142806,890.0253535142806,974457215.9997921,974457215.9997921,974457215.9997921,974457215.9997921,1,1
11,6.481812160876686,7.0710678118654755,6.776439986371081,6.776439986371081,1.1471912719936312,0.1623454625273997,0.1623454625273997,38.702561866298836,38.702561866298836,243885671.28697032,243885671.28697032,975542685.1478813,975542685.1478813,4,4
15,8.838834764831844,9.428090415820634,9.13346259032624,9.13346259032624,1.5460456356585321,0.21878659453827168,0.21878659453827168,28.718328563226883,28.718328563226883,45985095.552327275,45985095.552327275,137955286.65698183,137955286.65698183,3,3
16,9.428090415820634,10.017346066809424,9.722718241315029,9.722718241315029,1.6457373228385845,0.23289339064236708,0.23289339064236708,26.978804721977255,26.978804721977255,45985100.972200565,45985100.972200565,45985100.972200565,45985100.972200565,1,1
22,12.963624321753372,13.552879972742161,13.258252147247767,13.258252147247767,2.2436571005245116,0.3174975002297681,0.3174975002297681,19.789715832825586,19.789715832825586,660830.4561076021,660830.4561076021,2643321.8244304084,2643321.8244304084,4,4
25,14.73139127471974,15.32064692570853,15.026019100214135,15.026019100214135,2.5424418832959805,0.3597716828841998,0.3597716828841998,17.464368670732664,17.464368670732664,3505354.751672273,3505354.751672273,28042838.013378184,28042838.013378184,8,8
31,18.26692518065248,18.856180831641268,18.561553006146873,18.561553006146873,3.139580419061582,0.44425144755336105,0.44425144755336105,14.143308573968989,14.143308573968989,3350627.076170023,3350627.076170023,3350627.076170023,3350627.076170023,1,1
32,18.856180831641268,19.445436482630058,19.150808657135663,19.150808657135663,3.239040676017965,0.45832140908823477,0.45832140908823477,13.70912460685415,13.70912460685415,3350626.5799792632,3350626.5799792632,10051879.73993779,10051879.73993779,3,3
33,19.445436482630058,20.034692133618847,19.740064308124452,19.740064308124452,3.338481395090525,0.47238826156077734,0.47238826156077734,13.300892122974977,13.300892122974977,409059.7592629625,409059.7592629625,1636239.03705185,1636239.03705185,4,4
35,20.623947784607637,21.213203435596427,20.91857561010203,20.91857561010203,3.5373018477757276,0.5005122622920951,0.5005122622920951,12.553509235529514,12.553509235529514,1463865.0327252825,1463865.0327252825,11710920.26180226,11710920.26180226,8,8
40,23.570226039551585,24.159481690540375,23.86485386504598,23.86485386504598,4.033969638626976,0.5707612710431502,0.5707612710431502,11.008429663940127,11.008429663940127,779240.1309370369,779240.1309370369,6233921.0474962955,6233921.0474962955,8,8
45,26.516504294495533,27.105759945484323,26.811132119989928,26.811132119989928,4.530030935818985,0.6409137949950691,0.6409137949950691,9.80347958843346,9.80347958843346,351648.3549174462,351648.3549174462,1406593.4196697848,1406593.4196697848,4,4
46,27.105759945484323,27.695015596473112,27.400387770978718,27.400387770978718,4.6291639719338455,0.6549316982028935,0.6549316982028935,9.593649726254503,9.593649726254503,1220790.8873543544,1220790.8873543544,9766327.098834835,9766327.098834835,8,8
48,28.284271247461902,28.87352689845069,28.578899072956297,28.578899072956297,4.82734615831933,0.6829541628612994,0.6829541628612994,9.200010262556425,9.200010262556425,1009284.4605709512,1009284.4605709512,4037137.842283805,4037137.842283805,4,4
50,29.46278254943948,30.05203820042827,29.757410374933876,29.757410374933876,5.025412627922582,0.7109582245107053,0.7109582245107053,8.837629400101239,8.837629400101239,1620705.6952396012,1620705.6952396012,12965645.56191681,12965645.56191681,8,8
