model_id,twist_deg,rise_A,target_label,target_group,target_d_A,window_min_A,window_max_A,peak_d_A,peak_intensity_optional,assignment_status,notes,abs_relative_error,accepted_for_peak_scoring
pnab_twist28p5_rise3p38,28.5,3.38,base,base_stacking,3.38,3.25,3.52,3.3690002,1,local_maximum,Simplified isotropic Debye radial profile; assignment requires an interior local maximum.,0.00325437869822,yes
pnab_twist28p5_rise3p38,28.5,3.38,A,backbone_associated,3.8,3.6,4,3.7288934,0.25548223,local_maximum,Simplified isotropic Debye radial profile; assignment requires an interior local maximum.,0.0187122631579,yes
pnab_twist28p5_rise3p38,28.5,3.38,B,backbone_associated,4.4,4.15,4.65,4.1610499,0.19685322,ambiguous_boundary_or_monotonic,Simplified isotropic Debye radial profile; assignment requires an interior local maximum.,0.0543068409091,no
pnab_twist28p5_rise3p38,28.5,3.38,C,backbone_associated,5.65,5.3,6,5.6605273,0.65800737,local_maximum,Simplified isotropic Debye radial profile; assignment requires an interior local maximum.,0.00186323893805,yes
pnab_twist28p5_rise3p38,28.5,3.38,D,backbone_associated,7.3,6.8,7.8,7.3487547,0.33847522,local_maximum,Simplified isotropic Debye radial profile; assignment requires an interior local maximum.,0.0066787260274,yes
pnab_twist29p5_rise3p38,29.5,3.38,base,base_stacking,3.38,3.25,3.52,3.3510322,1,local_maximum,Simplified isotropic Debye radial profile; assignment requires an interior local maximum.,0.00857035502959,yes
pnab_twist29p5_rise3p38,29.5,3.38,A,backbone_associated,3.8,3.6,4,3.7736849,0.33016129,local_maximum,Simplified isotropic Debye radial profile; assignment requires an interior local maximum.,0.00692502631579,yes
pnab_twist29p5_rise3p38,29.5,3.38,B,backbone_associated,4.4,4.15,4.65,4.6370371,0.23974711,ambiguous_boundary_or_monotonic,Simplified isotropic Debye radial profile; assignment requires an interior local maximum.,0.0538720681818,no
pnab_twist29p5_rise3p38,29.5,3.38,C,backbone_associated,5.65,5.3,6,5.5850536,0.78757027,local_maximum,Simplified isotropic Debye radial profile; assignment requires an interior local maximum.,0.0114949380531,yes
pnab_twist29p5_rise3p38,29.5,3.38,D,backbone_associated,7.3,6.8,7.8,7.5701028,0.35844667,local_maximum,Simplified isotropic Debye radial profile; assignment requires an interior local maximum.,0.0370003835616,yes
pnab_twist30_rise3p38,30.0,3.38,base,base_stacking,3.38,3.25,3.52,3.3510322,1,local_maximum,Simplified isotropic Debye radial profile; assignment requires an interior local maximum.,0.00857035502959,yes
pnab_twist30_rise3p38,30.0,3.38,A,backbone_associated,3.8,3.6,4,3.7623864,0.3319261,local_maximum,Simplified isotropic Debye radial profile; assignment requires an interior local maximum.,0.00989831578947,yes
pnab_twist30_rise3p38,30.0,3.38,B,backbone_associated,4.4,4.15,4.65,4.6370371,0.22745034,ambiguous_boundary_or_monotonic,Simplified isotropic Debye radial profile; assignment requires an interior local maximum.,0.0538720681818,no
pnab_twist30_rise3p38,30.0,3.38,C,backbone_associated,5.65,5.3,6,5.5358461,0.80015836,local_maximum,Simplified isotropic Debye radial profile; assignment requires an interior local maximum.,0.0202042300885,yes
pnab_twist30_rise3p38,30.0,3.38,D,backbone_associated,7.3,6.8,7.8,7.5701028,0.35941148,local_maximum,Simplified isotropic Debye radial profile; assignment requires an interior local maximum.,0.0370003835616,yes
pnab_twist30p5_rise3p38,30.5,3.38,base,base_stacking,3.38,3.25,3.52,3.3510322,1,local_maximum,Simplified isotropic Debye radial profile; assignment requires an interior local maximum.,0.00857035502959,yes
pnab_twist30p5_rise3p38,30.5,3.38,A,backbone_associated,3.8,3.6,4,3.7511554,0.32537809,local_maximum,Simplified isotropic Debye radial profile; assignment requires an interior local maximum.,0.0128538421053,yes
pnab_twist30p5_rise3p38,30.5,3.38,B,backbone_associated,4.4,4.15,4.65,4.6370371,0.22510657,ambiguous_boundary_or_monotonic,Simplified isotropic Debye radial profile; assignment requires an interior local maximum.,0.0538720681818,no
pnab_twist30p5_rise3p38,30.5,3.38,C,backbone_associated,5.65,5.3,6,5.4636394,0.89860585,local_maximum,Simplified isotropic Debye radial profile; assignment requires an interior local maximum.,0.0329841769912,yes
pnab_twist30p5_rise3p38,30.5,3.38,D,backbone_associated,7.3,6.8,7.8,7.4799825,0.35673409,local_maximum,Simplified isotropic Debye radial profile; assignment requires an interior local maximum.,0.0246551369863,yes
pnab_twist31_rise3p38,31.0,3.38,base,base_stacking,3.38,3.25,3.52,3.3510322,1,local_maximum,Simplified isotropic Debye radial profile; assignment requires an interior local maximum.,0.00857035502959,yes
pnab_twist31_rise3p38,31.0,3.38,A,backbone_associated,3.8,3.6,4,3.7399913,0.31889041,local_maximum,Simplified isotropic Debye radial profile; assignment requires an interior local maximum.,0.0157917631579,yes
pnab_twist31_rise3p38,31.0,3.38,B,backbone_associated,4.4,4.15,4.65,4.4879895,0.21082469,local_maximum,Simplified isotropic Debye radial profile; assignment requires an interior local maximum.,0.0199976136364,yes
pnab_twist31_rise3p38,31.0,3.38,C,backbone_associated,5.65,5.3,6,5.3932921,0.90022659,local_maximum,Simplified isotropic Debye radial profile; assignment requires an interior local maximum.,0.0454350265487,yes
pnab_twist31_rise3p38,31.0,3.38,D,backbone_associated,7.3,6.8,7.8,7.4799825,0.35001717,local_maximum,Simplified isotropic Debye radial profile; assignment requires an interior local maximum.,0.0246551369863,yes
